marca,km,provincia,precio_usd,carroceria,antiguedad
Toyota,240000,Santa Fe,7741.94,Pickup,27
Toyota,178000,Ciudad Autónoma Buenos Aires,16903.23,SUV,12
Volkswagen,20000,Ciudad Autónoma Buenos Aires,5806.45,Pickup,2
Toyota,260000,Mendoza,16774.19,SUV,13
Volkswagen,20000,Ciudad Autónoma Buenos Aires,3225.81,SUV,2
Nissan,131000,Córdoba,14838.71,SUV,6
Citroën,14700,Buenos Aires (A.M.B.A.),14000.0,Hatchback,3
Volkswagen,40000,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Nissan,156000,Mendoza,19354.84,Pickup,4
Citroën,103000,Buenos Aires (A.M.B.A.),10967.74,SUV,9
Volkswagen,18000,Ciudad Autónoma Buenos Aires,5806.45,Pickup,2
Volkswagen,40000,Ciudad Autónoma Buenos Aires,4516.13,Pickup,2
Peugeot,20000,Ciudad Autónoma Buenos Aires,3225.81,Furgón,2
Volkswagen,20000,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Volkswagen,45000,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Ford,128650,Buenos Aires (A.M.B.A.),6774.19,SUV,15
Citroën,99000,Santa Fe,11612.9,SUV,7
Toyota,75000,Buenos Aires (A.M.B.A.),11935.48,Hatchback,2
Volkswagen,25000,Ciudad Autónoma Buenos Aires,3225.81,SUV,2
Ford,84000,Buenos Aires (A.M.B.A.),6451.61,Hatchback,15
Volkswagen,17000,Ciudad Autónoma Buenos Aires,4516.13,SUV,2
Chevrolet,130000,Buenos Aires,4516.13,Hatchback,19
Peugeot,81000,Ciudad Autónoma Buenos Aires,5806.45,Furgón,11
Volkswagen,65000,Ciudad Autónoma Buenos Aires,9677.42,Pickup,2
Volkswagen,16500,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Volkswagen,12000,Ciudad Autónoma Buenos Aires,2580.64,Pickup,2
Chevrolet,138000,Córdoba,8967.74,Sedán,14
Volkswagen,15000,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Peugeot,18000,Ciudad Autónoma Buenos Aires,1935.48,Furgón,2
Volkswagen,20000,Ciudad Autónoma Buenos Aires,3225.81,Hatchback,2
Volkswagen,16000,Ciudad Autónoma Buenos Aires,1935.48,Hatchback,2
Volkswagen,25000,Ciudad Autónoma Buenos Aires,2258.06,Hatchback,2
Mercedes,88800,Corrientes,15483.87,Sedán,12
Volkswagen,89000,Misiones,8516.13,Hatchback,9
Volkswagen,21500,Ciudad Autónoma Buenos Aires,7741.93,Pickup,2
FIAT,129000,Buenos Aires (A.M.B.A.),13700.0,Pickup,8
Volkswagen,25000,Ciudad Autónoma Buenos Aires,3548.39,SUV,2
Peugeot,175500,Buenos Aires (A.M.B.A.),6500.0,Hatchback,21
Volkswagen,30000,Ciudad Autónoma Buenos Aires,3870.97,Pickup,2
Volkswagen,17500,Ciudad Autónoma Buenos Aires,4193.55,SUV,2
Volkswagen,20000,Ciudad Autónoma Buenos Aires,5161.29,SUV,2
Volkswagen,30000,Ciudad Autónoma Buenos Aires,3225.81,SUV,2
Chevrolet,38000,Entre Ríos,15806.45,Hatchback,3
FIAT,25000,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Ford,320000,Mendoza,4193.55,Clásico,45
Volkswagen,42000,Ciudad Autónoma Buenos Aires,1612.9,Hatchback,4
Toyota,38000,Buenos Aires,19032.26,Hatchback,1
Renault,168500,Buenos Aires,4193.55,Hatchback,27
Toyota,81000,Mendoza,15161.29,Hatchback,4
Toyota,157000,Córdoba,8500.0,Hatchback,10
Volkswagen,237000,Buenos Aires,16129.03,Pickup,6
Volkswagen,20000,Ciudad Autónoma Buenos Aires,2258.06,Pickup,2
Honda,120000,Buenos Aires (A.M.B.A.),2300.0,Sedán,8
Renault,60000,Salta,17419.35,Pickup,7
Volkswagen,25000,Ciudad Autónoma Buenos Aires,4516.13,Hatchback,2
Renault,338000,Buenos Aires (A.M.B.A.),14709.68,Furgón,15
Volkswagen,25000,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
FIAT,153000,Buenos Aires (A.M.B.A.),6967.74,Hatchback,9
Volkswagen,134000,Buenos Aires (A.M.B.A.),17000.0,Clásico,9
Volkswagen,20000,Ciudad Autónoma Buenos Aires,1935.48,Pickup,2
Renault,300000,Buenos Aires,7000.0,Sedán,14
Volkswagen,20000,Ciudad Autónoma Buenos Aires,7741.93,Pickup,2
KIA,145000,Buenos Aires,16000.0,Camión,18
Volkswagen,23500,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Renault,45000,Ciudad Autónoma Buenos Aires,3225.81,SUV,4
FIAT,25700,Ciudad Autónoma Buenos Aires,14838.71,Sedán,3
Volkswagen,35000,Ciudad Autónoma Buenos Aires,3225.81,Hatchback,3
Volkswagen,24999,Ciudad Autónoma Buenos Aires,4516.13,Pickup,2
Toyota,38000,Córdoba,50322.58,SUV,2
Volkswagen,24000,Ciudad Autónoma Buenos Aires,2580.64,Hatchback,2
Volkswagen,76400,Ciudad Autónoma Buenos Aires,22516.13,SUV,5
Volkswagen,25000,Ciudad Autónoma Buenos Aires,6451.61,Pickup,2
Nissan,78000,Buenos Aires,10967.74,Hatchback,7
Volkswagen,20999,Ciudad Autónoma Buenos Aires,2903.23,Pickup,2
Renault,112000,Córdoba,12838.71,SUV,8
Peugeot,50000,Buenos Aires,16774.19,Hatchback,1
Volkswagen,20000,Ciudad Autónoma Buenos Aires,3548.39,Pickup,2
Renault,104000,Córdoba,5806.45,Sedán,10
Suzuki,245000,Córdoba,10200.0,SUV,34
Citroën,117000,Buenos Aires,8387.1,Hatchback,13
FIAT,170000,Buenos Aires (A.M.B.A.),6709.68,Furgón,12
Nissan,60000,Buenos Aires (A.M.B.A.),23870.97,Pickup,2
Volkswagen,2024,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
BAIC,33000,Buenos Aires,19354.84,SUV,3
Volkswagen,80000,Ciudad Autónoma Buenos Aires,3870.97,Pickup,2
