marca,km,provincia,precio_usd,carroceria,antiguedad
Mercedes,19000,Santa Fe,33000.0,Hatchback,7
Peugeot,3800,Chaco,14193.55,Hatchback,5
Peugeot,50000,Córdoba,17000.0,Hatchback,3
Jeep,16000,Mendoza,21419.35,SUV,2
Renault,48000,La Rioja,10322.58,Sedán,7
Renault,150000,La Pampa,7290.32,Hatchback,12
Citroën,70000,Buenos Aires (A.M.B.A.),9677.42,Hatchback,9
Nissan,45000,Buenos Aires (A.M.B.A.),20500.0,SUV,6
Volkswagen,134000,Corrientes,20322.58,Pickup,9
Peugeot,169000,Córdoba,8387.1,Hatchback,12
Ford,172000,Chaco,5483.87,Hatchback,15
Chevrolet,143000,Ciudad Autónoma Buenos Aires,7677.42,Sedán,13
Chevrolet,128000,Buenos Aires (A.M.B.A.),11935.48,Sedán,8
Peugeot,98000,Santa Fe,10322.58,Hatchback,9
Chevrolet,110000,Buenos Aires,10000.0,SUV,13
Peugeot,29000,Ciudad Autónoma Buenos Aires,4516.13,Hatchback,4
Toyota,300000,Ciudad Autónoma Buenos Aires,18900.0,Pickup,17
Citroën,54000,Ciudad Autónoma Buenos Aires,14900.0,Sedán,6
Peugeot,109000,Ciudad Autónoma Buenos Aires,8709.68,Hatchback,12
Toyota,67000,San Luis,24000.0,Pickup,4
Ford,52000,Ciudad Autónoma Buenos Aires,16322.58,Hatchback,9
Ford,103000,Santa Fe,19354.84,Sedán,6
Ford,40000,Ciudad Autónoma Buenos Aires,23500.0,SUV,4
Renault,105000,Tierra del Fuego,10322.58,Sedán,6
Toyota,193000,Río Negro,21935.48,Pickup,11
FIAT,1,Buenos Aires (A.M.B.A.),19354.84,Pickup,0
Renault,30000,Buenos Aires (A.M.B.A.),8774.19,Hatchback,7
Chevrolet,66000,Mendoza,15483.87,Hatchback,6
Nissan,1,Misiones,34264.9,SUV,0
Volkswagen,123000,Ciudad Autónoma Buenos Aires,22500.0,Pickup,11
Chevrolet,112808,Córdoba,19354.84,SUV,2
Ford,71000,Neuquén,18709.68,SUV,5
Volkswagen,110000,Mendoza,8064.52,Hatchback,14
Chevrolet,164000,Buenos Aires (A.M.B.A.),4800.0,Sedán,13
Volkswagen,88000,Tucumán,19935.48,SUV,4
Nissan,78000,Tucumán,7096.77,Sedán,15
Jeep,120000,Tucumán,29032.26,SUV,16
FIAT,148500,Buenos Aires (A.M.B.A.),6451.61,Hatchback,11
Peugeot,172000,Buenos Aires (A.M.B.A.),3032.26,Sedán,29
Peugeot,25000,Ciudad Autónoma Buenos Aires,5161.29,Hatchback,5
Volkswagen,165000,Ciudad Autónoma Buenos Aires,7419.35,Minivan,15
Ford,250000,Buenos Aires,4967.74,SUV,21
Ford,130000,Buenos Aires (A.M.B.A.),13000.0,SUV,10
Jeep,2100,Córdoba,28322.58,SUV,0
Jeep,60000,Buenos Aires (A.M.B.A.),18064.52,SUV,5
Audi,81000,Santa Fe,23870.97,Coupé,13
Peugeot,75000,Buenos Aires,14100.0,Hatchback,5
Honda,140000,Ciudad Autónoma Buenos Aires,15483.87,SUV,11
Renault,107000,Ciudad Autónoma Buenos Aires,11612.9,Furgón,8
Renault,165000,Ciudad Autónoma Buenos Aires,2580.65,Hatchback,22
Peugeot,145000,Buenos Aires (A.M.B.A.),10769.03,Hatchback,8
Ford,400000,Buenos Aires,22000.0,Pickup,18
Ford,250000,Santa Fe,3870.97,Hatchback,17
Ford,168000,Mendoza,4187.1,Hatchback,21
Toyota,66900,Buenos Aires (A.M.B.A.),12903.23,Sedán,4
Peugeot,38000,Ciudad Autónoma Buenos Aires,5806.45,Hatchback,5
Hyundai,208000,Buenos Aires,9000.0,SUV,17
Chevrolet,163000,Buenos Aires (A.M.B.A.),9032.26,Minivan,10
Renault,209400,Córdoba,7096.77,SUV,15
Ford,167669,Buenos Aires,4838.71,Hatchback,17
Chevrolet,140000,Buenos Aires (A.M.B.A.),5870.97,SUV,8
Toyota,195000,Córdoba,8387.1,Sedán,14
Honda,213000,Chaco,8000.0,Hatchback,13
Ford,87534,Buenos Aires,10645.16,Hatchback,8
Toyota,13000,Santa Fe,27741.94,Sedán,2
Peugeot,25800,Buenos Aires (A.M.B.A.),13741.94,Hatchback,3
Peugeot,140000,Buenos Aires (A.M.B.A.),6451.61,Hatchback,16
FIAT,85300,Córdoba,14500.0,Hatchback,14
Chevrolet,208163,Ciudad Autónoma Buenos Aires,5483.87,Minivan,19
Honda,135000,Ciudad Autónoma Buenos Aires,19032.26,Sedán,8
Ford,111000,San Luis,10967.74,Hatchback,10
Ford,13000,Buenos Aires,34516.13,Pickup,3
Hyundai,285000,Mendoza,16774.19,Minivan,17
Renault,118000,Ciudad Autónoma Buenos Aires,9354.84,Furgón,14
Volkswagen,12000,Ciudad Autónoma Buenos Aires,20645.16,Sedán,2
Peugeot,52996,Buenos Aires (A.M.B.A.),6451.61,Hatchback,7
Volkswagen,117000,Ciudad Autónoma Buenos Aires,7500.0,Sedán,15
Ford,126000,Buenos Aires,9677.42,SUV,12
Volkswagen,108000,Buenos Aires,9500.0,Hatchback,14
Ford,26500,La Rioja,28387.1,SUV,1
Peugeot,29000,Ciudad Autónoma Buenos Aires,6451.61,Hatchback,4
Volkswagen,134000,Mendoza,6967.74,Hatchback,15
FIAT,35000,Buenos Aires (A.M.B.A.),7741.94,Hatchback,4
Chevrolet,43000,Buenos Aires,21500.0,Sedán,4
Chevrolet,108000,Córdoba,12258.06,Sedán,7
Volkswagen,37000,Buenos Aires (A.M.B.A.),29000.0,SUV,4
Ford,122000,Ciudad Autónoma Buenos Aires,8903.23,Hatchback,8
FIAT,142700,Córdoba,8387.1,Sedán,10
MINI,84000,Santa Fe,20500.0,Hatchback,10
Audi,103000,Buenos Aires,16500.0,Hatchback,14
Ford,95000,Corrientes,12903.23,Hatchback,9
BAIC,54000,Mendoza,30000.0,SUV,2
Volkswagen,157000,Río Negro,9032.26,Sedán,11
Honda,304000,Buenos Aires,6800.0,Hatchback,18
Honda,124000,Buenos Aires (A.M.B.A.),11900.0,Sedán,17
Ford,140000,Buenos Aires (A.M.B.A.),10322.58,SUV,10
Chevrolet,119682,Córdoba,21840.65,Pickup,6
Peugeot,29000,Ciudad Autónoma Buenos Aires,7741.94,SUV,4
Peugeot,53000,Ciudad Autónoma Buenos Aires,5483.87,Hatchback,7
Volkswagen,124500,Buenos Aires (A.M.B.A.),8129.03,Minivan,13
Peugeot,38000,Ciudad Autónoma Buenos Aires,9677.42,SUV,5
Peugeot,120000,Santa Fe,13225.81,Furgón,7
Volkswagen,60000,Ciudad Autónoma Buenos Aires,15000.0,Sedán,7
Chevrolet,57000,Ciudad Autónoma Buenos Aires,9354.84,Hatchback,9
Toyota,88763,San Luis,10967.74,Sedán,9
FIAT,97000,Córdoba,11612.9,Sedán,5
Hyundai,199000,Buenos Aires,11612.9,SUV,15
Chery,95000,Ciudad Autónoma Buenos Aires,11935.48,SUV,9
Renault,49700,Buenos Aires (A.M.B.A.),9500.0,Hatchback,8
Renault,96700,Mendoza,7612.9,Hatchback,10
Ford,127000,Tucumán,11612.9,Hatchback,8
Honda,126000,Córdoba,10322.58,Sedán,12
Chevrolet,134904,Córdoba,13454.84,Minivan,6
Chevrolet,150000,Buenos Aires (A.M.B.A.),4838.71,Hatchback,16
Peugeot,45000,Ciudad Autónoma Buenos Aires,11612.9,Furgón,4
Peugeot,78001,Ciudad Autónoma Buenos Aires,12900.0,Furgón,8
Volkswagen,78000,Ciudad Autónoma Buenos Aires,10258.06,Minivan,9
Nissan,65000,Ciudad Autónoma Buenos Aires,15483.87,Sedán,4
Peugeot,54000,Ciudad Autónoma Buenos Aires,15161.29,Hatchback,4
Renault,120300,Córdoba,5806.45,Furgón,14
Honda,134000,Buenos Aires (A.M.B.A.),18000.0,SUV,10
Chevrolet,115430,Córdoba,11827.74,Minivan,7
Volkswagen,27266,Buenos Aires (A.M.B.A.),32258.06,Sedán,2
FIAT,127000,Mendoza,8064.52,Hatchback,12
Renault,46800,Santa Fe,12900.0,Hatchback,14
Chevrolet,79500,Santa Fe,26500.0,SUV,6
Renault,180000,Buenos Aires,7419.35,Sedán,14
FIAT,29800,Buenos Aires,11935.48,Hatchback,6
Ford,24500,Buenos Aires (A.M.B.A.),36774.19,Pickup,3
Ford,86207,Buenos Aires (A.M.B.A.),15000.0,SUV,9
Lifan,81050,Buenos Aires (A.M.B.A.),13000.0,Hatchback,9
Toyota,253000,Buenos Aires,14800.0,SUV,18
Citroën,17000,Buenos Aires,16774.19,Hatchback,2
Volkswagen,118000,Buenos Aires,11500.0,Hatchback,16
Toyota,21000,Ciudad Autónoma Buenos Aires,30900.0,SUV,4
Toyota,53000,Buenos Aires (A.M.B.A.),16000.0,Hatchback,3
Chevrolet,92500,Buenos Aires (A.M.B.A.),7741.94,Sedán,14
Jeep,300000,Córdoba,9032.26,SUV,19
Chevrolet,109000,Buenos Aires (A.M.B.A.),8000.0,Hatchback,10
Ford,71000,Santa Fe,20322.58,Sedán,6
Volkswagen,29000,Salta,12258.06,Hatchback,6
Peugeot,84000,Ciudad Autónoma Buenos Aires,10000.0,Hatchback,13
Chevrolet,112600,Buenos Aires (A.M.B.A.),5806.45,Hatchback,13
Peugeot,42000,Santa Fe,17354.84,SUV,6
Toyota,121790,Buenos Aires (A.M.B.A.),22580.65,Pickup,10
Renault,88400,Córdoba,7741.94,Hatchback,10
Renault,85000,Buenos Aires (A.M.B.A.),14000.0,Sedán,9
Chevrolet,70821,Córdoba,13454.84,Hatchback,4
Chevrolet,140000,Salta,14193.55,Sedán,8
Chevrolet,36500,Ciudad Autónoma Buenos Aires,19516.13,Sedán,4
Nissan,60000,Córdoba,12258.06,Hatchback,7
Honda,82500,Mendoza,21032.26,SUV,5
Ford,175000,Buenos Aires (A.M.B.A.),22000.0,Pickup,9
Jeep,89000,Ciudad Autónoma Buenos Aires,26387.1,SUV,5
Volkswagen,140000,Buenos Aires,18387.1,Pickup,7
BMW,157000,Ciudad Autónoma Buenos Aires,30500.0,Coupé,19
Subaru,140000,Buenos Aires (A.M.B.A.),22000.0,SUV,9
Volkswagen,81000,Mendoza,11741.94,Hatchback,8
FIAT,39500,Córdoba,14516.13,Sedán,4
Chevrolet,105768,Córdoba,12516.13,Sedán,9
Volkswagen,312000,Buenos Aires,6774.19,Sedán,12
Citroën,135000,Buenos Aires (A.M.B.A.),6774.19,Minivan,15
DFSK,170000,Buenos Aires (A.M.B.A.),11612.9,Pickup,8
Chevrolet,158000,Neuquén,9032.26,Sedán,8
FIAT,140000,Buenos Aires,15483.87,Pickup,9
Renault,124000,Ciudad Autónoma Buenos Aires,11935.48,Sedán,6
Honda,99000,Buenos Aires,17000.0,Hatchback,9
FIAT,148000,Mendoza,7741.94,Furgón,12
FIAT,36500,Ciudad Autónoma Buenos Aires,14516.13,Sedán,3
Ford,140000,Mendoza,4129.03,Hatchback,20
Toyota,305000,Ciudad Autónoma Buenos Aires,24193.55,Pickup,7
Peugeot,34000,Misiones,12896.77,Hatchback,8
Renault,78000,Buenos Aires (A.M.B.A.),13225.81,SUV,7
Honda,162000,Buenos Aires (A.M.B.A.),16500.0,SUV,10
Ford,148000,Buenos Aires (A.M.B.A.),9677.42,Hatchback,9
Renault,191000,Buenos Aires,7612.9,Hatchback,15
Chery,114822,Córdoba,13454.84,SUV,4
Volkswagen,130000,Córdoba,19354.84,Coupé,13
Peugeot,98000,Córdoba,6129.03,Sedán,14
Ford,129500,San Luis,9900.0,SUV,11
Jeep,14000,Buenos Aires,23096.77,SUV,1
MINI,83000,Ciudad Autónoma Buenos Aires,21000.0,Hatchback,9
FIAT,88800,Córdoba,9032.26,Sedán,11
Citroën,137000,Buenos Aires (A.M.B.A.),8064.52,Sedán,11
Renault,102450,Buenos Aires (A.M.B.A.),7096.77,Hatchback,12
Renault,92000,Ciudad Autónoma Buenos Aires,10451.61,SUV,8
Chevrolet,102611,Córdoba,15645.16,Sedán,5
Mercedes,90000,Ciudad Autónoma Buenos Aires,33500.0,Hatchback,8
Volkswagen,181000,Buenos Aires (A.M.B.A.),7419.35,Minivan,13
Volkswagen,192000,Buenos Aires (A.M.B.A.),10967.74,Minivan,11
Volkswagen,62000,Ciudad Autónoma Buenos Aires,8064.52,Hatchback,15
Ford,78000,Ciudad Autónoma Buenos Aires,10500.0,Hatchback,7
Lifan,116000,Buenos Aires (A.M.B.A.),8967.74,Pickup,9
BMW,17000,San Juan,28000.0,Hatchback,10
FIAT,108000,Mendoza,8387.1,Hatchback,8
Volkswagen,45000,Neuquén,10645.16,Hatchback,11
Chevrolet,195000,Buenos Aires (A.M.B.A.),4516.13,Hatchback,18
Citroën,68000,Buenos Aires (A.M.B.A.),13870.97,SUV,6
Renault,200000,Buenos Aires (A.M.B.A.),18451.61,Furgón,14
Audi,69000,Mendoza,34000.0,SUV,7
Peugeot,30000,Córdoba,11935.48,Hatchback,4
Citroën,46000,Buenos Aires (A.M.B.A.),10967.74,Sedán,9
Peugeot,59000,Buenos Aires (A.M.B.A.),10322.58,Sedán,12
Toyota,92000,Salta,14000.0,Hatchback,6
Peugeot,64000,Ciudad Autónoma Buenos Aires,9612.9,Hatchback,7
MG,1000,Ciudad Autónoma Buenos Aires,29900.0,SUV,0
Peugeot,1,Ciudad Autónoma Buenos Aires,6129.03,Furgón,0
MINI,105000,Mendoza,20500.0,Hatchback,7
DS,64000,Ciudad Autónoma Buenos Aires,14900.0,Hatchback,7
Ford,104400,Mendoza,9032.26,Hatchback,15
Chevrolet,175000,Córdoba,5806.45,Sedán,13
Nissan,143000,Tierra del Fuego,7741.94,Hatchback,11
BMW,140788,Buenos Aires (A.M.B.A.),19900.0,Hatchback,10
Jeep,30000,Santa Fe,16129.03,SUV,16
Ford,113000,Buenos Aires,7419.35,Sedán,15
Volkswagen,78600,Ciudad Autónoma Buenos Aires,12258.06,Minivan,7
Volkswagen,166100,Buenos Aires,13000.0,Sedán,15
Honda,198000,Entre Ríos,5161.29,Hatchback,20
Ford,153700,Buenos Aires (A.M.B.A.),2774.19,Sedán,31
Chevrolet,148000,Ciudad Autónoma Buenos Aires,6258.06,Hatchback,14
Nissan,148000,Córdoba,11870.97,Sedán,9
Audi,108936,Córdoba,17209.68,Hatchback,8
Volkswagen,86600,Ciudad Autónoma Buenos Aires,16774.19,SUV,5
Honda,171000,Tierra del Fuego,7741.94,Sedán,13
Peugeot,86000,Ciudad Autónoma Buenos Aires,6451.61,Hatchback,13
Honda,124000,Buenos Aires (A.M.B.A.),13000.0,Hatchback,12
Toyota,56000,Buenos Aires (A.M.B.A.),24967.74,SUV,4
Ford,124000,Buenos Aires (A.M.B.A.),6451.61,Hatchback,10
Ford,74636,Buenos Aires (A.M.B.A.),9677.42,SUV,20
BMW,113000,Buenos Aires,21500.0,Hatchback,9
Renault,130000,Tucumán,10967.74,SUV,10
Volkswagen,186000,Mendoza,11870.97,Sedán,13
Audi,141000,Córdoba,12580.65,SUV,16
Ford,131500,Chaco,11290.32,Sedán,10
Jeep,140000,Buenos Aires (A.M.B.A.),15000.0,SUV,20
Peugeot,59000,Buenos Aires (A.M.B.A.),9677.42,SUV,7
FIAT,37600,Ciudad Autónoma Buenos Aires,15806.45,Sedán,2
Citroën,126000,Santa Fe,9500.0,Sedán,9
Peugeot,194000,Buenos Aires (A.M.B.A.),6774.19,Sedán,15
Toyota,75000,Córdoba,32000.0,SUV,3
Peugeot,56000,Ciudad Autónoma Buenos Aires,15000.0,Hatchback,7
Peugeot,51000,Ciudad Autónoma Buenos Aires,3870.97,Hatchback,6
Chevrolet,35200,Buenos Aires,16000.0,Hatchback,5
Honda,19300,Ciudad Autónoma Buenos Aires,23000.0,SUV,6
Jeep,156000,Tucumán,11612.9,SUV,10
Citroën,74000,Ciudad Autónoma Buenos Aires,15419.35,Sedán,6
Volkswagen,169000,Buenos Aires (A.M.B.A.),6387.1,Minivan,13
Chevrolet,129000,Santa Fe,11935.48,Sedán,9
Peugeot,172000,Buenos Aires (A.M.B.A.),6774.19,Hatchback,13
Jeep,94000,Ciudad Autónoma Buenos Aires,17000.0,SUV,8
Toyota,24500,Córdoba,29032.26,Sedán,1
Toyota,61500,Entre Ríos,16451.61,Sedán,3
Peugeot,48000,Ciudad Autónoma Buenos Aires,14516.13,Hatchback,3
Volkswagen,99000,Buenos Aires (A.M.B.A.),22900.0,Hatchback,8
Volkswagen,109000,Buenos Aires,16129.03,Sedán,9
Mercedes,196000,Catamarca,17000.0,Furgón,26
Toyota,134000,Ciudad Autónoma Buenos Aires,9032.26,Sedán,12
Toyota,30600,Buenos Aires (A.M.B.A.),25741.94,SUV,5
Renault,120000,Chubut,10000.0,SUV,13
Ford,56400,Ciudad Autónoma Buenos Aires,14000.0,Hatchback,7
Volkswagen,102425,San Luis,6193.55,Hatchback,15
FIAT,43000,Buenos Aires,15483.87,Sedán,2
Volkswagen,54000,Buenos Aires (A.M.B.A.),21000.0,SUV,3
Peugeot,340000,Mendoza,2903.23,Hatchback,26
Renault,100000,Tucumán,12258.06,SUV,7
Mercedes,93000,Buenos Aires,24000.0,Sedán,13
Honda,138000,Buenos Aires (A.M.B.A.),8387.1,Sedán,12
Volkswagen,91000,Buenos Aires,11935.48,SUV,10
Ford,218000,Buenos Aires,19000.0,Pickup,8
Citroën,114000,Ciudad Autónoma Buenos Aires,8064.52,Minivan,14
Ford,120000,Ciudad Autónoma Buenos Aires,7500.0,Hatchback,9
Volkswagen,70000,Ciudad Autónoma Buenos Aires,18000.0,Hatchback,11
Volkswagen,130000,Buenos Aires,10967.74,Hatchback,6
Peugeot,15000,Ciudad Autónoma Buenos Aires,8387.1,Hatchback,2
Volkswagen,104000,Ciudad Autónoma Buenos Aires,10645.16,Hatchback,7
FIAT,177000,Córdoba,12580.65,Pickup,9
Toyota,105000,Buenos Aires (A.M.B.A.),15800.0,Hatchback,8
Toyota,114400,San Luis,14838.71,Sedán,11
Volkswagen,71000,Ciudad Autónoma Buenos Aires,17900.0,Hatchback,10
Chevrolet,170000,Ciudad Autónoma Buenos Aires,6451.61,Hatchback,14
Renault,80300,Buenos Aires (A.M.B.A.),10064.52,Sedán,8
Citroën,176000,Buenos Aires,7000.0,Minivan,17
Volkswagen,150000,Córdoba,5483.87,Minivan,17
Peugeot,130000,Buenos Aires,7419.35,Sedán,9
Toyota,80513,Buenos Aires (A.M.B.A.),15483.87,Hatchback,7
Peugeot,187000,Buenos Aires,10500.0,Furgón,10
Toyota,258000,Buenos Aires,9354.84,Sedán,11
Renault,92000,Ciudad Autónoma Buenos Aires,7096.77,Hatchback,12
FIAT,11500,Ciudad Autónoma Buenos Aires,23500.0,Pickup,1
Volkswagen,187000,Ciudad Autónoma Buenos Aires,5935.48,Hatchback,17
Toyota,157000,Mendoza,10903.23,Sedán,14
Volkswagen,127000,Santa Fe,14838.71,SUV,5
Dodge,212000,Ciudad Autónoma Buenos Aires,9000.0,SUV,14
Toyota,171000,Buenos Aires (A.M.B.A.),9225.81,Hatchback,10
Daihatsu,1000,Mendoza,50322.58,Hatchback,32
FIAT,155000,Ciudad Autónoma Buenos Aires,7677.42,Sedán,14
Ford,36000,Ciudad Autónoma Buenos Aires,32500.0,Pickup,3
Ford,137000,Buenos Aires,10645.16,Hatchback,10
FIAT,54001,Ciudad Autónoma Buenos Aires,13500.0,Sedán,4
FIAT,58000,Córdoba,22258.06,Pickup,3
Ford,96000,Ciudad Autónoma Buenos Aires,15806.45,Hatchback,8
Volkswagen,82000,Córdoba,10193.55,Hatchback,7
Volkswagen,89000,Santa Fe,12258.06,Hatchback,8
Mitsubishi,211000,Catamarca,17000.0,SUV,20
Ford,160000,Córdoba,6129.03,SUV,19
Peugeot,82000,Misiones,8967.74,Cabriolet,12
Toyota,84700,Ciudad Autónoma Buenos Aires,14300.0,Hatchback,8
Ford,162200,Entre Ríos,21290.32,Pickup,6
Audi,18000,Ciudad Autónoma Buenos Aires,19500.0,Hatchback,9
Daihatsu,123454,Buenos Aires,14500.0,SUV,46
Chevrolet,81330,Córdoba,18064.52,Sedán,4
Citroën,196000,Ciudad Autónoma Buenos Aires,4387.1,Hatchback,15
FIAT,82000,Ciudad Autónoma Buenos Aires,13500.0,Hatchback,8
DS,83000,Buenos Aires,12903.23,Hatchback,8
Chevrolet,10547,Corrientes,4064.52,Pickup,56
Chevrolet,155000,Santa Fe,8387.1,Sedán,10
Peugeot,24466,Buenos Aires (A.M.B.A.),29032.26,SUV,2
Volkswagen,92000,Ciudad Autónoma Buenos Aires,8709.68,Hatchback,10
Peugeot,100000,Ciudad Autónoma Buenos Aires,3870.97,Sedán,15
Peugeot,21000,Ciudad Autónoma Buenos Aires,2580.65,Hatchback,3
Toyota,700,Buenos Aires,51612.9,Pickup,1
Ford,33200,Buenos Aires (A.M.B.A.),13225.81,SUV,8
Nissan,89000,Buenos Aires (A.M.B.A.),19900.0,SUV,5
Citroën,187635,Buenos Aires (A.M.B.A.),7096.77,Hatchback,12
Jeep,90600,Buenos Aires,15000.0,SUV,9
Peugeot,53000,Ciudad Autónoma Buenos Aires,4516.13,Hatchback,7
Peugeot,115000,Buenos Aires,10000.0,Hatchback,10
Peugeot,293000,Santa Fe,5096.77,Sedán,14
Renault,59000,Ciudad Autónoma Buenos Aires,15161.29,Sedán,2
Chevrolet,173000,Salta,10322.58,Sedán,9
Volkswagen,93400,Entre Ríos,11612.9,Minivan,8
BMW,130000,Córdoba,26000.0,Sedán,13
Toyota,130000,Buenos Aires (A.M.B.A.),4967.74,Sedán,13
Chevrolet,58000,Mendoza,24838.71,Pickup,6
Volkswagen,22000,Buenos Aires (A.M.B.A.),28500.0,SUV,2
Nissan,60000,Buenos Aires (A.M.B.A.),17000.0,Sedán,5
FIAT,11000,Córdoba,22903.23,SUV,1
Ford,230000,Mendoza,8400.0,Hatchback,14
Peugeot,78000,Buenos Aires (A.M.B.A.),11900.0,Hatchback,8
Peugeot,134000,Buenos Aires,7741.94,Hatchback,13
Chevrolet,135000,Ciudad Autónoma Buenos Aires,12838.71,Sedán,9
Volkswagen,54000,Buenos Aires (A.M.B.A.),15483.87,Sedán,3
Chevrolet,52000,Córdoba,18548.39,Hatchback,4
Renault,335000,Buenos Aires (A.M.B.A.),15806.45,Furgón,15
Peugeot,66000,Ciudad Autónoma Buenos Aires,10258.06,Furgón,6
FIAT,275000,Mendoza,6967.74,Hatchback,14
Renault,150000,Buenos Aires (A.M.B.A.),7096.77,Sedán,9
Peugeot,21500,Santa Fe,16774.19,Hatchback,3
FIAT,159000,Córdoba,16000.0,Pickup,8
Toyota,137000,Buenos Aires (A.M.B.A.),28000.0,Pickup,13
Renault,125000,Buenos Aires (A.M.B.A.),10322.58,Sedán,9
FIAT,283000,Entre Ríos,1161.29,Hatchback,32
MG,1000,Ciudad Autónoma Buenos Aires,25900.0,Hatchback,0
Chevrolet,160000,Chaco,4516.13,Hatchback,15
Peugeot,55000,Ciudad Autónoma Buenos Aires,7741.94,Hatchback,2
Chery,198600,Buenos Aires (A.M.B.A.),3096.77,Hatchback,14
Citroën,166000,Ciudad Autónoma Buenos Aires,4838.71,Minivan,18
Volkswagen,25000,Ciudad Autónoma Buenos Aires,3870.97,SUV,2
Ford,144000,Ciudad Autónoma Buenos Aires,9990.0,Hatchback,11
Honda,93000,Mendoza,14000.0,Sedán,15
Audi,186000,Córdoba,25000.0,Coupé,16
Peugeot,20800,Mendoza,16774.19,Hatchback,2
Renault,260000,Córdoba,7741.94,SUV,13
Chevrolet,95000,Santa Fe,12903.23,Sedán,5
Volkswagen,250000,Buenos Aires (A.M.B.A.),6774.19,Hatchback,11
Mercedes,12000,Córdoba,64000.0,SUV,2
Ford,53200,Santa Fe,11000.0,Hatchback,10
Ford,133000,Buenos Aires,9032.26,Hatchback,9
Citroën,75000,Santa Fe,7677.42,Hatchback,12
Peugeot,136000,Ciudad Autónoma Buenos Aires,7090.32,Hatchback,14
Audi,9527,Buenos Aires (A.M.B.A.),42500.0,SUV,2
Chevrolet,150000,Buenos Aires,11290.32,SUV,10
Peugeot,64000,Buenos Aires,10967.74,Hatchback,9
Volkswagen,90000,Ciudad Autónoma Buenos Aires,24500.0,SUV,4
Peugeot,55000,Ciudad Autónoma Buenos Aires,7741.94,Hatchback,7
FIAT,140000,Buenos Aires,7741.94,Hatchback,13
Peugeot,187000,Buenos Aires (A.M.B.A.),9800.0,SUV,10
Chery,137000,Mendoza,10967.74,SUV,7
Ford,20200,Buenos Aires (A.M.B.A.),75000.0,Pickup,2
Ford,57000,Buenos Aires,10838.71,Hatchback,7
Renault,174000,Buenos Aires (A.M.B.A.),7419.35,Sedán,13
Renault,138000,Buenos Aires (A.M.B.A.),9032.26,Sedán,8
Renault,72000,Córdoba,14193.55,SUV,9
Chevrolet,94000,Ciudad Autónoma Buenos Aires,7096.77,Hatchback,12
Volkswagen,92000,Neuquén,10322.58,Minivan,11
FIAT,190000,Buenos Aires (A.M.B.A.),13000.0,Pickup,8
RAM,74000,Buenos Aires (A.M.B.A.),53500.0,Pickup,4
Volkswagen,176000,Mendoza,6129.03,Sedán,17
FIAT,7600,Buenos Aires (A.M.B.A.),14193.55,Sedán,5
Ford,160000,Santa Fe,8129.03,Hatchback,13
Renault,163000,Buenos Aires (A.M.B.A.),3096.77,Hatchback,20
Toyota,361000,Neuquén,17741.94,Pickup,7
Ford,270000,Mendoza,12580.65,Pickup,11
Isuzu,303000,Córdoba,10500.0,SUV,28
Chevrolet,42000,Santa Fe,30000.0,SUV,2
Nissan,53000,Buenos Aires (A.M.B.A.),18387.1,Sedán,5
FIAT,244000,Ciudad Autónoma Buenos Aires,8000.0,Hatchback,15
Renault,156000,Neuquén,7096.77,Hatchback,13
Ford,257000,Ciudad Autónoma Buenos Aires,16129.03,Pickup,12
Volkswagen,83000,Ciudad Autónoma Buenos Aires,9032.26,Hatchback,10
Volkswagen,144000,Mendoza,38500.0,Pickup,7
Citroën,123000,Buenos Aires (A.M.B.A.),7741.94,Minivan,14
Volkswagen,93000,Buenos Aires (A.M.B.A.),10000.0,Hatchback,7
Ford,96000,Buenos Aires (A.M.B.A.),5741.94,Hatchback,13
Chevrolet,65000,Córdoba,10967.74,Hatchback,5
Renault,75000,Ciudad Autónoma Buenos Aires,11290.32,Hatchback,8
Chevrolet,73000,Ciudad Autónoma Buenos Aires,12580.65,Sedán,6
Ford,44000,Córdoba,32000.0,SUV,2
Peugeot,132000,Buenos Aires (A.M.B.A.),9225.81,Hatchback,13
Volkswagen,206273,Buenos Aires (A.M.B.A.),8000.0,Hatchback,11
Ford,48157,Ciudad Autónoma Buenos Aires,9354.84,Hatchback,15
BMW,160500,Buenos Aires (A.M.B.A.),17000.0,Sedán,14
Volkswagen,130000,Córdoba,9677.42,Hatchback,11
Nissan,85000,Ciudad Autónoma Buenos Aires,10000.0,Sedán,9
Peugeot,24000,Córdoba,20000.0,Hatchback,2
Chevrolet,220000,Santa Fe,5354.84,Minivan,16
Toyota,9000,Buenos Aires (A.M.B.A.),33500.0,SUV,2
Chevrolet,98000,Córdoba,6580.65,Sedán,11
Chevrolet,103000,Buenos Aires (A.M.B.A.),13548.39,Sedán,8
FIAT,106000,Ciudad Autónoma Buenos Aires,11612.9,Hatchback,8
Mercedes,83000,Buenos Aires (A.M.B.A.),35500.0,Hatchback,7
Chery,180000,Buenos Aires,12000.0,SUV,9
Volkswagen,13000,Buenos Aires (A.M.B.A.),7032.26,SUV,13
Volkswagen,102000,Tucumán,26129.03,Pickup,3
Peugeot,41000,Córdoba,14838.71,SUV,5
FIAT,165369,Buenos Aires (A.M.B.A.),6193.55,Hatchback,11
Chevrolet,86000,Buenos Aires (A.M.B.A.),7419.35,Hatchback,10
Renault,159000,Ciudad Autónoma Buenos Aires,11900.0,SUV,9
