marca,modelo,anio,km,precio,moneda,ciudad,provincia
Peugeot,308,2017,119000,13900000.0,ARS,Córdoba,Córdoba
Volkswagen,Gol Trend,2019,55340,8000.0,ARS,San Cristóbal,Ciudad Autónoma Buenos Aires
Ford,Fiesta Kinetic,2019,59000,19600000.0,ARS,La Puntilla,Mendoza
Hyundai,i10,2014,110000,11500000.0,ARS,Resistencia,Chaco
Nissan,March,2016,110000,13900000.0,ARS,Villa Del Parque,Ciudad Autónoma Buenos Aires
Volkswagen,T-Cross,2024,19500,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Honda,HR-V,2018,79200,24000000.0,ARS,Resistencia,Chaco
Renault,Duster,2016,160000,13000.0,USD,Quilmes Oeste,Buenos Aires (A.M.B.A.)
Peugeot,308,2012,156000,12400000.0,ARS,Banfield,Buenos Aires (A.M.B.A.)
Hyundai,Creta,2018,101000,24000000.0,ARS,General Fernández Oro,Río Negro
Volkswagen,Polo 5P,2024,20000,3599999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol,2013,94000,8900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Clio Mío,2015,105000,10800000.0,ARS,Maipu,Mendoza
Volkswagen,Voyage,2016,77000,13600000.0,ARS,Las Heras,Mendoza
BMW,X1,2016,113000,30900.0,USD,Villa Devoto,Ciudad Autónoma Buenos Aires
Renault,Kwid,2025,6794,20400000.0,ARS,El Palomar,Buenos Aires (A.M.B.A.)
Volkswagen,Nivus,2024,17500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Focus,2018,125000,20300000.0,ARS,San Carlos de Bariloche,Río Negro
Renault,Sandero Stepway,2015,166000,15000000.0,ARS,Barracas,Ciudad Autónoma Buenos Aires
FIAT,Toro,2024,7000,7000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Taos,2024,17500,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol Trend,2020,66000,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,11,1993,500000,2500000.0,ARS,Rosario,Santa Fe
Chevrolet,Tracker,2025,4500,13000000.0,ARS,Puerto Madero,Ciudad Autónoma Buenos Aires
Renault,Kwid,2019,120000,13500000.0,ARS,Salsipuedes,Córdoba
Toyota,Hilux,1999,240000,12000000.0,ARS,Casalegno,Santa Fe
Toyota,RAV4,2014,178000,26200000.0,ARS,Boedo,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,20000,8999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Toyota,RAV4,2013,260000,26000000.0,ARS,Mendoza,Mendoza
Chevrolet,Sonic,2026,100,39690000.0,ARS,Córdoba,Córdoba
Volkswagen,T-Cross,2024,20000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Kicks,2020,131000,23000000.0,ARS,Córdoba,Córdoba
Citroën,C3,2023,14700,14000.0,USD,Quilmes,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,40000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Frontier,2022,156000,30000000.0,ARS,Godoy Cruz,Mendoza
Citroën,C4 Cactus,2017,103000,17000000.0,ARS,Ingeniero Juan Allan,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,18000,9000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,40000,7000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,Partner,2024,20000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,20000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,45000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Clio Mío,2016,100,6500000.0,ARS,Córdoba,Córdoba
Ford,EcoSport,2011,128650,10500000.0,ARS,José Marmol,Buenos Aires (A.M.B.A.)
Citroën,C4 Cactus,2019,99000,18000000.0,ARS,Rosario,Santa Fe
Toyota,Yaris,2024,75000,18500000.0,ARS,Lanus,Buenos Aires (A.M.B.A.)
Volkswagen,Taos,2024,25000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ka,2011,84000,10000000.0,ARS,Avellaneda,Buenos Aires (A.M.B.A.)
Volkswagen,T-Cross,2024,17000,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Corsa Classic,2007,130000,7000000.0,ARS,La Plata,Buenos Aires
Peugeot,Partner,2015,81000,9000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,65000,15000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,16500,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,12000,3999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Cruze,2012,138000,13900000.0,ARS,Córdoba,Córdoba
Volkswagen,Amarok,2024,15000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,Partner,2024,18000,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol Trend,2024,20000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,16000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,25000,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Mercedes,Clase C Sedán,2014,88800,24000000.0,ARS,Corrientes,Corrientes
Volkswagen,up!,2017,89000,13200000.0,ARS,Posadas,Misiones
Volkswagen,Amarok,2024,21500,11999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Toro,2018,129000,13700.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,20000,1000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Taos,2024,25000,5499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,307,2005,175500,6500.0,USD,Caseros,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,30000,6000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Nivus,2024,17500,6499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,T-Cross,2024,20000,7999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Taos,2024,30000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Onix,2023,38000,24500000.0,ARS,Parana,Entre Ríos
FIAT,Toro,2024,25000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Taunus Coupé,1981,320000,6500000.0,ARS,Lujan de Cuyo,Mendoza
Volkswagen,Gol Trend,2022,42000,2499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Toyota,Yaris,2025,38000,29500000.0,ARS,La Plata,Buenos Aires
Renault,Mégane,1999,168500,6500000.0,ARS,Mar del Plata,Buenos Aires
Toyota,Etios Hatchback,2022,81000,23500000.0,ARS,1a. Seccion,Mendoza
Toyota,Etios Hatchback,2016,157000,8500.0,USD,Córdoba,Córdoba
Volkswagen,Amarok,2020,237000,25000000.0,ARS,Chacabuco,Buenos Aires
Volkswagen,Saveiro,2024,20000,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Honda,Civic,2018,120000,2300.0,USD,Quilmes,Buenos Aires (A.M.B.A.)
Renault,Duster Oroch,2019,60000,27000000.0,ARS,Salta,Salta
Volkswagen,Polo 5P,2024,25000,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Master,2011,338000,22800000.0,ARS,Ramos Mejia,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,25000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Palio,2017,153000,10800000.0,ARS,Olivos,Buenos Aires (A.M.B.A.)
Volkswagen,Beetle,2017,134000,17000.0,USD,Berazategui,Buenos Aires (A.M.B.A.)
Volkswagen,Saveiro,2024,20000,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Fluence,2012,300000,7000.0,USD,La Plata,Buenos Aires
Volkswagen,Amarok,2024,20000,11999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
KIA,K2700,2008,145000,16000.0,USD,La Plata,Buenos Aires
