marca,modelo,anio,km,precio,moneda,ciudad,provincia
Peugeot,208,2019,62000,7500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Foton,V9,2026,100,76000000.0,ARS,Córdoba,Córdoba
Renault,Kangoo,2024,30000,20500.0,USD,Rosario,Santa Fe
Peugeot,308,2019,55000,25000000.0,ARS,Barracas,Ciudad Autónoma Buenos Aires
Nissan,Kicks,2021,71500,33000000.0,ARS,Parana,Entre Ríos
Ford,Ranger,2012,270000,17500000.0,ARS,Rosario,Santa Fe
Renault,Duster,2013,190000,12000000.0,ARS,Almagro,Ciudad Autónoma Buenos Aires
Nissan,Versa,2015,155000,1490000.0,ARS,Posadas,Misiones
Renault,Clio Mío,2015,88000,13500000.0,ARS,Lanus,Buenos Aires (A.M.B.A.)
Toyota,Yaris,2020,550000,27400000.0,ARS,Villa Santa Rita,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,13500,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Jeep,Renegade,2022,33400,27500000.0,ARS,Parana,Entre Ríos
Peugeot,307,2006,109000,6300.0,USD,Caballito,Ciudad Autónoma Buenos Aires
FIAT,Grand Siena,2014,146500,11900000.0,ARS,Córdoba,Córdoba
Renault,Sandero Stepway,2009,144000,6900.0,USD,San Martin,Buenos Aires (A.M.B.A.)
Ford,Ka,2016,71000,12500000.0,ARS,Córdoba,Córdoba
Peugeot,308,2021,76000,22000000.0,ARS,Villa Maria,Córdoba
Ford,Ranger,2024,40000,51990000.0,ARS,Posadas,Misiones
Citroën,C3,2023,40000,205000000.0,ARS,Colegiales,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,17500,2700000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,33000,7000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,207,2010,54000,9300000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Volkswagen,Gol Trend,2013,138000,11900000.0,ARS,Córdoba,Córdoba
Volkswagen,Polo 5P,2024,14000,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2016,258000,21500000.0,ARS,La Plata,Buenos Aires
Renault,Clio Mío,2015,147000,11800000.0,ARS,Rosario,Santa Fe
Peugeot,208,2023,22000,7500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Nissan,Note,2017,94890,13500.0,USD,Escobar,Buenos Aires (A.M.B.A.)
FIAT,Fastback,2024,22000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol Trend,2016,108000,15000000.0,ARS,Salta,Salta
FIAT,Toro,2016,167000,17900000.0,ARS,Córdoba,Córdoba
KIA,Rio,2021,92614,18000.0,USD,Escobar,Buenos Aires (A.M.B.A.)
Toyota,Corolla,2021,125000,23500.0,USD,Villa Urquiza,Ciudad Autónoma Buenos Aires
Toyota,SW4,2018,165000,46900000.0,ARS,Corrientes,Corrientes
Chevrolet,Aveo,2011,180000,9500000.0,ARS,Ayacucho,Buenos Aires
Volkswagen,Amarok,2024,20000,10000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Palio Fire,2016,58000,11500000.0,ARS,Neuquén,Neuquén
Audi,A5 Sportback,2013,203700,18700.0,USD,Concordia,Entre Ríos
Ford,Focus,2016,170000,15300000.0,ARS,Córdoba,Córdoba
Ford,F-100,1984,100000,8500000.0,ARS,Comandante Otamendi,Buenos Aires
Peugeot,308 CC,2017,154357,15000000.0,ARS,Córdoba,Córdoba
Ford,Ka,2019,120529,19000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Volkswagen,Gol Trend,2017,145000,14500000.0,ARS,San Luis,San Luis
Chevrolet,Onix,2018,64000,17500000.0,ARS,Villa Carlos Paz,Córdoba
Citroën,C4 Lounge,2016,110000,14800000.0,ARS,San Martin,Buenos Aires (A.M.B.A.)
Ford,Kuga,2013,138000,12800.0,USD,La Plata,Buenos Aires
FIAT,Fastback Abarth,2024,15000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,2008,2021,38000,12500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Citroën,C4,2013,177000,9300000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Nissan,Sentra,2019,59000,16500.0,USD,Córdoba,Córdoba
Ford,Territory,2023,57900,39000000.0,ARS,La Plata,Buenos Aires
Peugeot,208,2021,38000,11000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Ford,Focus Exe,2012,181000,12000000.0,ARS,San Antonio De Padua,Buenos Aires (A.M.B.A.)
Jeep,Compass,2023,40000,41000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Peugeot,206,2003,180000,5000.0,USD,Parque Chacabuco,Ciudad Autónoma Buenos Aires
Renault,Logan,2023,80000,19350000.0,ARS,Mendoza,Mendoza
Ford,Ka,2012,240000,10500000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Peugeot,208,2019,58700,6000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
FIAT,Cronos,2021,35000,8200000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Audi,TT Coupé,2010,131000,22900.0,USD,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,40000,12499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Focus Sedán,2016,78000,19000000.0,ARS,Gálvez,Santa Fe
Peugeot,208,2024,20000,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Strada,2024,50000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Fiorino,2024,40000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ka,2017,74850,14900000.0,ARS,San Martin,Buenos Aires (A.M.B.A.)
Volkswagen,Virtus,2018,107000,21000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,18000,7000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ka,2018,112000,13500000.0,ARS,Córdoba,Córdoba
Renault,Kangoo,2005,290000,5500000.0,ARS,San Justo,Buenos Aires (A.M.B.A.)
Ford,EcoSport,2020,110000,19000000.0,ARS,Córdoba,Córdoba
Jeep,Renegade,2018,116000,22800000.0,ARS,Necochea,Buenos Aires
Citroën,C3,2016,144203,17500000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Volkswagen,Polo 5P,2023,30000,7000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,17500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Toro,2016,214000,19500000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Volkswagen,Voyage,2013,118200,12800000.0,ARS,Tandil,Buenos Aires
Ford,Ranger,2014,199000,15000000.0,ARS,Río Cuarto,Córdoba
KIA,Picanto,2010,125,10000000.0,ARS,Esther,Santa Fe
Chevrolet,Agile,2017,52000,12900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,208,2022,38000,8500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Citroën,Jumper,2018,289000,42500000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Audi,A5 Coupé,2012,63000,29900000.0,ARS,Yerba Buena - Marcos Paz,Tucumán
Chevrolet,Spin,2017,159500,15000000.0,ARS,La Plata,Buenos Aires
FIAT,Idea,2013,138000,8900000.0,ARS,Córdoba,Córdoba
Ford,Kuga,2017,90000,26900000.0,ARS,Córdoba,Córdoba
Peugeot,308 CC,2016,125000,12000.0,USD,La Plata,Buenos Aires
FIAT,Uno,2013,199000,9500000.0,ARS,Córdoba,Córdoba
Ford,Fiesta Kinetic,2017,129200,14000000.0,ARS,Monserrat,Ciudad Autónoma Buenos Aires
Renault,Laguna,1997,360000,4000000.0,ARS,San Martin,Buenos Aires (A.M.B.A.)
Ford,Ka,2017,30000,15500000.0,ARS,Neuquén,Neuquén
Renault,Logan,2023,91000,17600000.0,ARS,Mendoza,Mendoza
Hyundai,Tucson,2007,202000,10900000.0,ARS,Córdoba,Córdoba
Citroën,C3,2014,137000,12000000.0,ARS,Tandil,Buenos Aires
Ford,EcoSport,2014,126600,15200000.0,ARS,Cosquín,Córdoba
Volkswagen,Polo 5P,2024,20000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Corsa,2003,230000,4000000.0,ARS,Arroyo Seco,Santa Fe
Peugeot,Partner Patagónica,2012,143000,14300000.0,ARS,Las Heras,Mendoza
Peugeot,408,2012,117000,11000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,19200,2299999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ka,2010,175000,7000000.0,ARS,Córdoba,Córdoba
Chevrolet,S 10,2020,86000,46000000.0,ARS,Córdoba,Córdoba
Peugeot,208,2026,1,34600000.0,ARS,Colegiales,Ciudad Autónoma Buenos Aires
Peugeot,208,2023,28000,28000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Chevrolet,Captiva,2015,166000,8500.0,USD,Recoleta,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2026,1,29850000.0,ARS,Posadas,Misiones
Ford,Focus Sedán,2016,176500,18200000.0,ARS,Rosario,Santa Fe
Toyota,Corolla Cross,2022,79000,42000000.0,ARS,Córdoba,Córdoba
Ford,EcoSport,2008,158700,11000000.0,ARS,Avellaneda,Buenos Aires (A.M.B.A.)
Toyota,Prius,2018,166000,23000000.0,ARS,Yerba Buena - Marcos Paz,Tucumán
Volkswagen,Polo 5P,2024,15500,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Lifan,X70,2019,82000,19500.0,USD,Campana,Buenos Aires
FIAT,Uno,2013,102000,11900000.0,ARS,Bahía Blanca,Buenos Aires
JAC,S3,2019,87000,11000.0,USD,Almagro,Ciudad Autónoma Buenos Aires
Chevrolet,Onix Plus,2025,21000,27500000.0,ARS,Loma Hermosa,Buenos Aires (A.M.B.A.)
Nissan,Frontier,2023,47300,45500000.0,ARS,Parana,Entre Ríos
Toyota,Yaris Sedán,2020,32000,25500000.0,ARS,Santa Fe,Santa Fe
FIAT,Palio,2010,182000,8900000.0,ARS,Córdoba,Córdoba
Citroën,C3,2017,119000,12900000.0,ARS,Córdoba,Córdoba
Nissan,Kicks,2019,77000,22500000.0,ARS,Castelar,Buenos Aires (A.M.B.A.)
Toyota,Etios Hatchback,2022,50500,26000000.0,ARS,San Lorenzo,Santa Fe
FIAT,500,2014,109000,14500000.0,ARS,Rosario,Santa Fe
FIAT,Bravo,2013,135000,10900000.0,ARS,Córdoba,Córdoba
Peugeot,208,2024,17000,40000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Cruze,2018,108000,20500000.0,ARS,Tunuyan,Mendoza
Peugeot,208,2024,13500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Dodge,Journey,2012,159000,16900000.0,ARS,Córdoba,Córdoba
Volkswagen,Nivus,2021,79677,31000000.0,ARS,San Luis,San Luis
Ford,EcoSport,2014,180000,14000000.0,ARS,San Fernando,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,18500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Citroën,C3,2010,143000,7700000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Chevrolet,Tracker,2018,140000,22000000.0,ARS,San Telmo,Ciudad Autónoma Buenos Aires
Chevrolet,Astra,2008,212242,9000000.0,ARS,Casilda,Santa Fe
Nissan,Versa,2024,10000,28000000.0,ARS,Parana,Entre Ríos
Ford,EcoSport,2016,90000,17890000.0,ARS,La Tablada,Buenos Aires (A.M.B.A.)
Renault,Fluence,2017,121000,17500000.0,ARS,Bahía Blanca,Buenos Aires
Peugeot,208,2015,155000,13500000.0,ARS,Plottier,Neuquén
Peugeot,208,2024,200000,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Fiorino,2017,120000,15000000.0,ARS,La Plata,Buenos Aires
Nissan,Note,2017,75400,17500000.0,ARS,Castelar,Buenos Aires (A.M.B.A.)
FIAT,Palio,2013,173000,11500000.0,ARS,Córdoba,Córdoba
FIAT,Cronos,2022,72360,21500000.0,ARS,San Francisco,Córdoba
Renault,Duster Oroch,2021,99800,24500000.0,ARS,Tandil,Buenos Aires
FIAT,Fiorino,2024,17500,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,208,2017,49000,13900000.0,ARS,Córdoba,Córdoba
Volkswagen,Taos,2023,65000,27900.0,USD,Pilar,Buenos Aires (A.M.B.A.)
Citroën,C4,2017,95000,14800000.0,ARS,Córdoba,Córdoba
FIAT,Palio Weekend,2015,200000,13000000.0,ARS,Lomas De Zamora,Buenos Aires (A.M.B.A.)
Ford,Focus,2015,142662,20000000.0,ARS,General Acha,La Pampa
Volkswagen,Polo 5P,2024,19000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,308,2013,108000,16000000.0,ARS,Córdoba,Córdoba
FIAT,Fastback,2024,17000,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,2008,2016,158000,13000000.0,ARS,General Rodrguez,Buenos Aires
Volkswagen,Fox,2007,234000,8500000.0,ARS,Córdoba,Córdoba
Ford,Ranger,2016,245,13900.0,USD,Córdoba,Córdoba
Renault,Duster,2019,62400,21500000.0,ARS,Tandil,Buenos Aires
BMW,X1,2017,144000,23500.0,USD,Vicente Lopez,Buenos Aires (A.M.B.A.)
Ford,Focus Exe,2011,162000,11000000.0,ARS,Dolores,Buenos Aires
FIAT,Punto,2014,135000,12900000.0,ARS,Córdoba,Córdoba
Ford,Falcon,1980,50000,13000.0,USD,Ferré,Buenos Aires
Volkswagen,Taos,2024,20000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Toyota,Corolla,2024,44000,28500.0,USD,La Plata,Buenos Aires
Renault,Logan,2017,88000,13900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ranger,2021,88000,31900000.0,ARS,Yerba Buena - Marcos Paz,Tucumán
Volkswagen,Amarok,2020,229000,24900000.0,ARS,Palermo,Ciudad Autónoma Buenos Aires
Volkswagen,Nivus,2024,21899,5999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Siena Fire,2006,103000,4900.0,USD,Villa Crespo,Ciudad Autónoma Buenos Aires
Peugeot,206,2012,85000,11500000.0,ARS,San Francisco Del Monte,Mendoza
Renault,Duster,2018,165000,17500000.0,ARS,Ezpeleta Oeste,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,19500,7899999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Audi,A6 Allroad,2017,113000,33000.0,USD,Parque Patricios,Ciudad Autónoma Buenos Aires
Renault,Sandero Stepway,2010,217140,8000000.0,ARS,Córdoba,Córdoba
Renault,Kwid,2020,56000,13000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Honda,HR-V,2018,95800,18500.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Peugeot,208,2025,11000,28000000.0,ARS,Córdoba,Córdoba
Volkswagen,Polo 5P,2024,15000,3500000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Citroën,Basalt,2026,1,29000000.0,ARS,Colegiales,Ciudad Autónoma Buenos Aires
FIAT,Fastback,2024,18000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,208,2014,85000,9000.0,USD,Llavallol,Buenos Aires (A.M.B.A.)
Volkswagen,Gol Trend,2017,69983,15500000.0,ARS,Godoy Cruz,Mendoza
Honda,HR-V,2019,83000,34000000.0,ARS,San Isidro,Buenos Aires (A.M.B.A.)
Peugeot,208,2023,21000,16500.0,USD,San Isidro,Buenos Aires (A.M.B.A.)
Chevrolet,Cruze 5,2022,77000,21000.0,USD,General Pacheco,Buenos Aires (A.M.B.A.)
Chevrolet,Spark,2017,54000,9700.0,USD,Flores,Ciudad Autónoma Buenos Aires
Toyota,Etios Hatchback,2018,123000,12200.0,USD,Villa Urquiza,Ciudad Autónoma Buenos Aires
Toyota,Corolla,2022,78000,32000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Peugeot,208,2024,17000,6000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Jeep,Renegade,2016,132000,16500000.0,ARS,Neuquén,Neuquén
Peugeot,208,2024,16000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Sentra,2016,100000,19000000.0,ARS,Rosario,Santa Fe
Volkswagen,Vento Variant,2012,178500,14900000.0,ARS,Olivos,Buenos Aires (A.M.B.A.)
Toyota,Corolla Cross Hybrid,2024,7800,52100000.0,ARS,Parque Patricios,Ciudad Autónoma Buenos Aires
Peugeot,2008,2025,7000,33500000.0,ARS,Palermo,Ciudad Autónoma Buenos Aires
Peugeot,208,2024,20000,2499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Nivus,2024,12000,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
BMW,X1,2012,154000,14000.0,USD,Santa Fe,Santa Fe
Jeep,Wrangler,1963,99998,10000.0,USD,Ferré,Buenos Aires
Citroën,C4 Picasso,2014,109000,16900000.0,ARS,Moron,Buenos Aires (A.M.B.A.)
Chevrolet,Captiva,2014,219000,16000000.0,ARS,Yerba Buena - Marcos Paz,Tucumán
Volkswagen,Nivus,2024,8500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,Partner,2020,90000,18000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Ford,Kuga,2016,115000,17000.0,USD,Tolosa,Buenos Aires
Renault,Fluence,2013,200000,12000000.0,ARS,San Miguel de Tucumán,Tucumán
Ford,Ka,2017,104000,13990000.0,ARS,Saavedra,Ciudad Autónoma Buenos Aires
FIAT,Fastback Abarth,2024,17000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Kicks,2023,68000,36500000.0,ARS,Parana,Entre Ríos
Volkswagen,Suran,2012,111000,11500000.0,ARS,Córdoba,Córdoba
Volkswagen,Polo 5P,2024,21500,4000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Tiida,2011,215000,7000.0,USD,Mar del Plata,Buenos Aires
FIAT,Toro,2019,145961,25000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Peugeot,Partner,2017,216000,14000000.0,ARS,Córdoba,Córdoba
Renault,Sandero Stepway,2010,210200,8500000.0,ARS,Palermo,Ciudad Autónoma Buenos Aires
Peugeot,208,2024,15700,8000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Nissan,Tiida,2010,143000,9000000.0,ARS,Río Cuarto,Córdoba
FIAT,Punto,2009,169000,7900000.0,ARS,Villa Ballester,Buenos Aires (A.M.B.A.)
Peugeot,207 Compact,2011,108000,8972000.0,ARS,Córdoba,Córdoba
Chevrolet,Agile,2015,123000,12000000.0,ARS,Pergamino,Buenos Aires
KIA,Sportage,2017,89000,20000.0,USD,San Martin,Buenos Aires (A.M.B.A.)
Volkswagen,Polo 5P,2024,15000,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Sandero,2022,70000,18000000.0,ARS,La Plata,Buenos Aires
Chevrolet,Onix Joy Plus,2018,80000,16000000.0,ARS,Lomas De Zamora,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,17500,4499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Master,2009,410772,19000000.0,ARS,Pergamino,Buenos Aires
FIAT,Fastback,2024,30000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Twingo,2000,170000,4800000.0,ARS,San Martin,Buenos Aires (A.M.B.A.)
FIAT,Cronos,2022,35000,7500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Toyota,Corolla Cross,2021,55000,43000000.0,ARS,Santa Fe,Santa Fe
Volkswagen,Vento Variant,2011,146000,13999000.0,ARS,Floresta,Ciudad Autónoma Buenos Aires
Honda,HR-V,2016,110000,16000.0,USD,Córdoba,Córdoba
Suzuki,Fun,2010,200000,6000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Focus,2016,171383,16000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Chery,Tiggo 3,2019,95000,18500000.0,ARS,Comodoro Rivadavia,Chubut
Citroën,C4,2013,109757,12500000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Volkswagen,Gol Trend,2011,142600,8990000.0,ARS,Boedo,Ciudad Autónoma Buenos Aires
Toyota,Corolla Cross,2022,77000,27000.0,USD,General Pacheco,Buenos Aires (A.M.B.A.)
Audi,Q5,2013,130000,24000000.0,ARS,Yerba Buena - Marcos Paz,Tucumán
FIAT,Mobi,2017,120000,14200000.0,ARS,La Plata,Buenos Aires
Peugeot,208,2022,36000,7500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2023,80560,26500.0,USD,Río Tercero,Córdoba
Renault,Sandero,2019,110600,20800000.0,ARS,Tandil,Buenos Aires
Volkswagen,Vento GLI,2025,40699,53500000.0,ARS,San Luis,San Luis
Volkswagen,Polo 5P,2024,17500,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Focus,2016,167000,17500000.0,ARS,Santo Tome,Santa Fe
Citroën,C3,2011,164000,8500000.0,ARS,Tigre,Buenos Aires (A.M.B.A.)
Toyota,Corolla Hybrid,2021,35000,25000.0,USD,Caballito,Ciudad Autónoma Buenos Aires
Chevrolet,Blazer,2006,357000,13500000.0,ARS,Villa Devoto,Ciudad Autónoma Buenos Aires
Jeep,Renegade,2024,13000,22997.0,USD,Córdoba,Córdoba
Volkswagen,Golf,2020,187681,16500000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Honda,HR-V,2020,72000,32000000.0,ARS,San Francisco,Córdoba
Peugeot,208,2021,45500,21000000.0,ARS,Santo Tome,Santa Fe
Citroën,Berlingo Furgón,2017,172000,14000.0,USD,La Plata,Buenos Aires
Volkswagen,Amarok,2021,120000,30000.0,USD,Escobar,Buenos Aires (A.M.B.A.)
Renault,Sandero Stepway,2012,121000,13500000.0,ARS,Santo Tome,Santa Fe
Volkswagen,Amarok,2024,17000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Logan,2022,51000,22000000.0,ARS,Salto,Buenos Aires
Toyota,RAV4,2010,218000,16300000.0,ARS,Córdoba,Córdoba
Chevrolet,Prisma,2016,203000,13200000.0,ARS,James Craik,Córdoba
FIAT,Argo,2020,120000,19200000.0,ARS,Almagro,Ciudad Autónoma Buenos Aires
Peugeot,208,2021,43000,8500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Hyundai,Tucson,2019,75000,27000.0,USD,Guaymallén,Mendoza
Chevrolet,Prisma,2012,105000,10000000.0,ARS,Salta,Salta
Volkswagen,Amarok,2025,2670,64000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Hyundai,H1,2015,100800,30000.0,USD,Montes de Oca,Santa Fe
Chevrolet,Classic,2013,120000,11500000.0,ARS,Ayacucho,Buenos Aires
Honda,HR-V,2017,95000,17900.0,USD,Palermo,Ciudad Autónoma Buenos Aires
Volkswagen,Suran,2015,98000,12000.0,USD,Escobar,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2022,115000,40000000.0,ARS,Parana,Entre Ríos
Peugeot,2008,2026,1,34300000.0,ARS,Colegiales,Ciudad Autónoma Buenos Aires
Toyota,Yaris,2021,39000,26500000.0,ARS,Ciudadela,Buenos Aires (A.M.B.A.)
Chevrolet,Blazer,2006,357000,13500000.0,ARS,Agronomía,Ciudad Autónoma Buenos Aires
Renault,Fluence,2013,58000,14000000.0,ARS,Liniers,Ciudad Autónoma Buenos Aires
Chevrolet,S 10,2017,140000,19500000.0,ARS,Río Cuarto,Córdoba
FIAT,Cronos,2021,91500,10000000.0,ARS,Lanus,Buenos Aires (A.M.B.A.)
Volkswagen,Vento,2021,150000,16500000.0,ARS,Curuzu Cuatia,Corrientes
FIAT,Toro,2024,15000,4499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,20000,7999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,20000,4599999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Tiida Hatchback,2011,196000,6700.0,USD,Villa Del Parque,Ciudad Autónoma Buenos Aires
Peugeot,408,2016,100000,11500000.0,ARS,Recoleta,Ciudad Autónoma Buenos Aires
Volkswagen,Gol,2012,85100,10900000.0,ARS,La Calera,Córdoba
FIAT,Punto,2012,116000,11990000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Duster,2014,135480,13500000.0,ARS,Córdoba,Córdoba
FIAT,Strada Adventure,2017,106000,16000000.0,ARS,San Salvador de Jujuy,Jujuy
Chevrolet,Corsa Classic,2010,245000,7500000.0,ARS,Posadas,Misiones
Chevrolet,Agile,2012,194000,8500000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Toyota,Corolla Cross Hybrid,2022,103000,43000000.0,ARS,Santo Tome,Santa Fe
Ford,EcoSport,2006,320000,8000000.0,ARS,Gral. San Martín,Mendoza
Ford,Focus Sedán,2016,113000,16200000.0,ARS,Rosario,Santa Fe
Volkswagen,Amarok,2020,130000,45000000.0,ARS,Villa Urquiza,Ciudad Autónoma Buenos Aires
Peugeot,208,2020,42000,21000000.0,ARS,Neuquén,Neuquén
Volkswagen,Gol Country,1998,440000,5000000.0,ARS,Cortines,Buenos Aires
Renault,Sandero Stepway,2021,74000,17500.0,USD,Tigre,Buenos Aires (A.M.B.A.)
Peugeot,208,2017,52000,18000000.0,ARS,Cañada de Gomez,Santa Fe
Ford,Focus,2017,55000,20900000.0,ARS,Parana,Entre Ríos
FIAT,Cronos,2022,66000,22000000.0,ARS,Zapala,Neuquén
Toyota,Hilux,2019,78000,32000000.0,ARS,Río Cuarto,Córdoba
Citroën,C4 Lounge,2020,85000,16000000.0,ARS,Rosario,Santa Fe
Chevrolet,Corsa,2006,330000,6500000.0,ARS,Ayacucho,Buenos Aires
FIAT,Cronos,2023,8700,27800000.0,ARS,Viedma,Río Negro
FIAT,600 HYBRID,2025,10000,37500000.0,ARS,El Talar,Buenos Aires (A.M.B.A.)
Renault,Logan,2012,300000,7200000.0,ARS,Isidro Casanova,Buenos Aires (A.M.B.A.)
Chevrolet,Tracker,2016,119500,17800000.0,ARS,Avellaneda,Buenos Aires (A.M.B.A.)
Renault,Captur,2017,141000,13000000.0,ARS,Río Cuarto,Córdoba
Citroën,C3 Aircross,2018,110000,16000000.0,ARS,Godoy Cruz,Mendoza
Nissan,Tiida,2014,110000,13000000.0,ARS,Godoy Cruz,Mendoza
Honda,Accord,2014,149000,16000.0,USD,Retiro,Ciudad Autónoma Buenos Aires
Citroën,C3,2025,14000,6500.0,USD,Liniers,Ciudad Autónoma Buenos Aires
FIAT,Linea,2015,100000,12500000.0,ARS,Concepción Del Uruguay,Entre Ríos
Peugeot,2008,2024,21000,8000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Renault,Fluence,2014,72000,14500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Renault,Duster Oroch,2020,200000,20700000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Volkswagen,Taos,2024,17000,6000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,Kicks,2017,170000,23500000.0,ARS,Salta,Salta
